Player,Shirt Number,Nation,Position,Age,Minutes,Goals,Assists_x,Penalty Kicks Made,Penalty Kicks Attempted,Shots Total,Shots on Target,Yellow Cards_x,Red Cards_x,Touches_x,Tackles_x,Interceptions_x,Blocks_x,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals_x,Shot-Creating Actions,Goal-Creating Actions,Passes Completed_x,Passes Attempted_x,Pass Completion %_x,Progressive Passes_x,Carries_x,Progressive Carries_x,Take-Ons Attempted_x,Successful Take-Ons_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes Completed_y,Passes Attempted_y,Pass Completion %_y,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists_y,xAG: Exp. Assisted Goals_y,xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes_y,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses_x,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked_x,Tackles_y,Tackles Won_x,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks_y,Shots Blocked,Passes Blocked_y,Interceptions_y,Tkl+Int,Clearances,Errors,Touches_y,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted_y,Successful Take-Ons_y,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries_y,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries_y,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Yellow Cards_y,Red Cards_y,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses_y,Interceptions,Tackles Won_y,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Simple_Position,Point_won
Eddie Nketiah,14,eng ENG,FW,24-074,73,1,0,0,0,3,1,0,0,26,1,0,1,0.2,0.2,0.0,1,0,16,16,100.0,0,14,0,3,0,18bb7c10,26a7f90c,a53649b7,18bb7c10,2,e4a775cb,1,16,16,100.0,203,5,12,12,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,16,14,2,0,0,0,0,1,0,0,0,0,16,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,26,0,0,11,15,6,26,3,0,0.0,2,66.7,14,41,9,0,0,0,1,1,18,4,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,100.0,Forward,1.0
Leandro Trossard,19,be BEL,"LM,LW",28-251,17,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,3,0,7,10,70.0,1,5,1,1,1,18bb7c10,26a7f90c,38ceb24a,18bb7c10,2,e4a775cb,1,7,10,70.0,93,22,3,4,75.0,4,5,80.0,0,0,,0,0.0,0.0,1,2,0,0,1,10,9,1,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,12,0,4,8,3,0,12,1,1,100.0,0,0.0,5,63,55,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0.0,Midfielders,1.0
Gabriel Martinelli,11,br BRA,LW,22-055,85,0,1,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.2,3,1,31,33,93.9,3,35,3,4,2,18bb7c10,26a7f90c,48a5a5d6,18bb7c10,2,e4a775cb,1,31,33,93.9,556,124,13,14,92.9,15,16,93.8,3,3,100.0,1,0.2,0.2,3,0,1,0,3,33,31,2,0,0,0,2,1,1,1,0,0,31,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,47,0,4,16,27,4,47,4,2,50.0,2,50.0,35,197,91,3,3,2,1,4,32,9,0,0,0,2,2,0,2,0,1,0,0,0,8,1,5,16.7,Forward,1.0
Gabriel Magalhaes,6,br BRA,CB,25-236,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,18bb7c10,26a7f90c,67ac5bb8,18bb7c10,2,e4a775cb,1,2,3,66.7,33,6,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4,0,3,1,0,0,4,0,0,,0,,2,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Defenders,1.0
Bukayo Saka,7,eng ENG,RW,21-341,90,1,0,0,0,3,2,0,0,81,5,0,1,0.2,0.2,0.1,4,0,49,67,73.1,3,62,11,2,0,18bb7c10,26a7f90c,bc7dc64d,18bb7c10,2,e4a775cb,1,49,67,73.1,787,133,24,28,85.7,21,28,75.0,3,5,60.0,0,0.1,0.2,3,2,2,1,3,67,62,5,0,1,0,9,1,4,4,0,0,49,0,2,5,4,2,1,2,3,5,60.0,2,1,0,1,0,5,0,0,81,1,4,20,57,7,81,2,0,0.0,1,50.0,62,415,197,11,3,2,1,1,67,20,0,0,0,2,1,0,9,0,4,0,0,0,0,0,1,0.0,Forward,1.0
Kai Havertz,29,de GER,"LM,FW",24-062,90,0,0,0,0,2,0,0,0,65,1,1,1,0.1,0.1,0.2,3,0,47,54,87.0,4,54,3,1,0,18bb7c10,26a7f90c,fed7cb61,18bb7c10,2,e4a775cb,1,47,54,87.0,683,114,28,31,90.3,16,18,88.9,2,2,100.0,0,0.2,0.2,2,2,1,0,4,54,51,2,2,0,0,0,0,0,0,0,0,47,1,0,1,1,0,0,1,1,1,100.0,0,1,0,1,1,2,1,0,65,1,3,34,29,4,65,1,0,0.0,1,100.0,54,244,119,3,2,0,1,1,58,10,0,0,0,2,4,0,0,1,1,0,0,0,2,3,4,42.9,Midfielders,1.0
Declan Rice,41,eng ENG,CM,24-210,90,0,0,0,0,3,3,0,0,103,4,1,0,0.2,0.2,0.0,0,0,84,91,92.3,3,86,1,2,0,18bb7c10,26a7f90c,1c7012b8,18bb7c10,2,e4a775cb,1,84,91,92.3,1328,279,47,48,97.9,33,35,94.3,4,6,66.7,0,0.0,0.0,0,7,0,0,3,91,90,1,1,0,1,0,0,0,0,0,0,84,0,1,4,4,1,3,0,3,4,75.0,1,0,0,0,1,5,0,0,103,2,24,65,15,1,103,2,0,0.0,1,50.0,86,444,178,1,1,0,3,0,87,4,0,0,0,2,1,0,0,1,4,0,0,0,5,1,4,20.0,Midfielders,1.0
Martin Odegaard,8,no NOR,RM,24-238,90,0,0,0,0,3,0,0,0,80,3,0,0,0.1,0.1,0.0,6,0,55,69,79.7,9,65,8,0,0,18bb7c10,26a7f90c,79300479,18bb7c10,2,e4a775cb,1,55,69,79.7,761,137,36,41,87.8,15,19,78.9,2,4,50.0,0,0.0,0.1,1,4,4,0,9,69,62,6,1,2,0,3,2,3,3,0,0,55,1,1,3,1,0,3,0,0,2,0.0,2,0,0,0,0,3,1,0,80,1,4,30,46,4,80,0,0,,0,,65,396,196,8,4,2,2,1,62,6,0,0,0,0,2,0,3,0,1,0,0,0,7,0,0,,Midfielders,1.0
Jurrien Timber,12,nl NED,LB,22-056,49,0,0,0,0,0,0,1,0,51,1,0,0,0.0,0.0,0.0,0,0,44,49,89.8,7,39,0,0,0,18bb7c10,26a7f90c,41034650,18bb7c10,2,e4a775cb,1,44,49,89.8,654,152,21,22,95.5,23,26,88.5,0,0,,0,0.0,0.0,0,9,0,0,7,49,44,5,1,0,0,0,4,0,0,0,0,44,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,51,0,8,38,5,0,51,0,0,,0,,39,127,86,0,2,0,0,0,39,3,1,0,0,2,0,1,0,0,1,0,0,0,2,1,0,100.0,Defenders,1.0
Takehiro Tomiyasu,18,jp JPN,LB,24-280,41,0,0,0,0,1,1,0,0,48,0,1,0,0.0,0.0,0.0,0,0,37,43,86.0,3,39,0,0,0,18bb7c10,26a7f90c,b3af9be1,18bb7c10,2,e4a775cb,1,37,43,86.0,572,131,18,20,90.0,18,20,90.0,1,3,33.3,0,0.0,0.0,0,4,0,0,3,43,41,2,1,1,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,48,2,13,31,4,1,48,0,0,,0,,39,176,106,0,1,0,0,0,38,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,50.0,Defenders,1.0
William Saliba,2,fr FRA,CB,22-141,90,0,1,0,0,0,0,0,0,132,0,0,0,0.0,0.0,0.0,2,1,127,130,97.7,7,114,0,0,0,18bb7c10,26a7f90c,972aeb2a,18bb7c10,2,e4a775cb,1,127,130,97.7,2180,834,58,60,96.7,61,61,100.0,8,8,100.0,1,0.0,0.0,1,4,1,0,7,130,128,2,0,0,0,0,0,0,0,0,0,127,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,132,7,37,92,3,1,132,0,0,,0,,114,489,316,0,0,0,0,0,112,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0,100.0,Defenders,1.0
