Player,q_lower,iqr_lower,median,iqr_upper,q_upper
01ce9e70,-0.4059657,-0.1360415,-0.0192357,0.089516075,0.344342275
02b29014,-0.3215535,-0.079343125,0.0213744,0.12798475,0.368470599999999
0480ebc7,-0.206447275,0.0072231625,0.120981,0.2570955,0.549028075
049a888d,-0.430948425,-0.15122875,-0.03262525,0.073467475,0.308705025
0562b7f1,-0.2723973,-0.0577952,0.04362965,0.15188425,0.3904499
05e8ca6d,-0.44830705,-0.1718975,-0.04843735,0.0574949,0.297499199999999
07802f7f,-0.41351655,-0.15645675,-0.04148775,0.0615374,0.2881252
0cd31129,-0.533669375,-0.26909225,-0.147941,-0.0381548,0.1444107
0f134faf,-0.1630289,0.044055775,0.1742,0.328794,0.667218225
0f7533cd,-0.282631175,-0.053495525,0.0490358,0.1661205,0.430088375
1544f145,-0.369793975,-0.1163935,-0.0049879,0.10543675,0.352141175
15ab5a2b,-0.314451125,-0.10285525,-0.002942185,0.092741675,0.29867735
15ea812b,-0.535109725,-0.23141675,-0.102987,0.0072857275,0.2260236
15f3ec41,-0.170401125,0.043088,0.16783,0.31919475,0.649608749999999
169fd162,-0.18898465,0.01110375,0.124794,0.256082,0.535205725
178ae8f8,-0.173732,0.02204835,0.1268,0.24785025,0.499588249999999
1971591f,-0.34513495,-0.108736,-0.008763115,0.088954775,0.31447645
1c7012b8,-0.13092575,0.058920375,0.1850545,0.331709,0.64829315
1f44ac21,-0.18500565,-0.02578925,0.0508538,0.13190925,0.302038625
1fb1c435,-0.179482475,0.024743825,0.1408715,0.2759855,0.559385175
21a66f6a,-0.097554035,0.073212875,0.1791025,0.29778125,0.53087495
2500cef9,-0.24277065,-0.0387919,0.06000965,0.1655455,0.3908792
27d0a506,-0.3235839,-0.07394985,0.03168045,0.14891075,0.416567275
2bd83368,-0.3314397,-0.1047955,-0.00215893,0.097166375,0.318639399999999
2da834f1,-0.371841675,-0.1268795,-0.0164921,0.086721325,0.315624675
2ee5b0c9,-0.403333,-0.13613175,-0.02168595,0.08720645,0.3314933
2f9e4435,-0.56342315,-0.25683925,-0.121949,-0.00928677,0.201188599999999
2fba6108,-0.463035675,-0.18196875,-0.05920575,0.0443277,0.27274095
32f60ed8,-0.47682555,-0.21987425,-0.0981764,0.0043322425,0.205818025
3312f911,-0.361312625,-0.10414675,0.01055005,0.1293145,0.39413805
35141f4c,-0.26850475,-0.036159,0.0745311,0.20232425,0.496395375
3515d404,-0.21159785,-0.006293955,0.09705935,0.219129,0.481248825
35e413f1,-0.22556755,0.001563355,0.121489,0.2685455,0.594011249999999
38ceb24a,-0.1601468,0.026629825,0.133639,0.254693,0.49848825
3925dbd6,-0.360185275,-0.1295565,-0.0231511,0.074345175,0.291090875
3a233281,-0.2507492,-0.03634535,0.06400005,0.179793,0.423445225
3a24769f,-0.33997425,-0.086286575,0.0261298,0.147032,0.415651925
3b8674e6,-0.296874075,-0.051679575,0.05689535,0.179679,0.4586053
3ea50f67,-0.169598575,0.024205825,0.1308195,0.25620075,0.511950124999999
3eb22ec9,-0.210338125,0.0026242575,0.113913,0.24870325,0.5369005
414184f7,-0.2749212,-0.030705125,0.07868205,0.21448925,0.514689874999999
41f08ac8,-0.5340166,-0.236212,-0.1072265,0.0036609275,0.21814865
4468ec10,-0.468675675,-0.18197725,-0.0584853,0.0484415,0.286493225
