Player,q_lower,iqr_lower,median,iqr_upper,q_upper
01ce9e70,-0.3765818,-0.11745525,-0.0138062,0.075527375,0.30979745
02b29014,-0.27936435,-0.056128975,0.0292968,0.13001575,0.371208749999999
0480ebc7,-0.19882315,-0.00696441,0.0886251,0.21459475,0.514268449999999
049a888d,-0.391713775,-0.12766725,-0.02360005,0.064180575,0.295176175
0562b7f1,-0.2722141,-0.06050615,0.0224375,0.11947775,0.366587775
05e8ca6d,-0.407273925,-0.14122175,-0.031219,0.0529393,0.27313055
07802f7f,-0.393277275,-0.1378365,-0.03111155,0.053119175,0.271472625
0cd31129,-0.50885455,-0.24222775,-0.1221195,-0.0231319,0.13269745
0f134faf,-0.1547559,0.01950865,0.13291,0.278959,0.604057825
0f7533cd,-0.26997125,-0.047899725,0.03350625,0.138691,0.392755825
1544f145,-0.34633445,-0.10065325,-0.00599373,0.083664675,0.321105925
15ab5a2b,-0.3274816,-0.111661,-0.01992185,0.0604525,0.264239825
15ea812b,-0.47648815,-0.18661075,-0.0661304,0.022258975,0.224176775
15f3ec41,-0.163998875,0.013394375,0.122654,0.26692025,0.5795036
169fd162,-0.180706725,-0.000525139,0.0915559,0.21778925,0.495921099999999
178ae8f8,-0.16951575,0.00532612,0.0948731,0.21488075,0.467239325
1971591f,-0.323381825,-0.093454975,-0.005823625,0.07959145,0.2844501
1c7012b8,-0.14268515,0.024009725,0.1349705,0.2800445,0.592653975
1f44ac21,-0.2336393,-0.061610975,0.009870955,0.0874425,0.2615477
1fb1c435,-0.172333325,0.0069939825,0.1030675,0.23004775,0.515709399999999
21a66f6a,-0.108148325,0.036228125,0.1353715,0.253292,0.49468025
2500cef9,-0.233778,-0.03820965,0.03980865,0.1394105,0.361141625
27d0a506,-0.29902445,-0.069299125,0.01894505,0.123682,0.3757467
2bd83368,-0.310335025,-0.083181775,0.004199575,0.093106775,0.307338725
2da834f1,-0.354457975,-0.112901,-0.01558345,0.07172945,0.2902041
2ee5b0c9,-0.369648825,-0.11775775,-0.014281,0.07589305,0.315504799999998
2f9e4435,-0.511453275,-0.22351275,-0.0908104,0.003187735,0.1924306
2fba6108,-0.42778305,-0.15684075,-0.0427855,0.04117495,0.2506499
32f60ed8,-0.44960225,-0.19355075,-0.07643245,0.009139165,0.185379225
3312f911,-0.3400909,-0.09262335,0.00356798,0.1012415,0.35057995
35141f4c,-0.2623198,-0.037477975,0.04973325,0.16877225,0.467711325
3515d404,-0.206175425,-0.0148877,0.0717113,0.18807175,0.4450218
35e413f1,-0.207680475,-0.0086522025,0.08467175,0.219335,0.536026775
38ceb24a,-0.160093425,0.0068316825,0.09690585,0.210076,0.462747049999999
3925dbd6,-0.346543175,-0.113932,-0.0188086,0.06419195,0.277526025
3a233281,-0.245079525,-0.040412575,0.0413325,0.147533,0.404669975
3a24769f,-0.319080125,-0.070320925,0.01814625,0.11840675,0.388623474999999
3b8674e6,-0.280353575,-0.04862745,0.03690235,0.1487365,0.425300274999999
3ea50f67,-0.1588788,0.0065746475,0.102633,0.22293175,0.484754225
3eb22ec9,-0.2091206,-0.013960425,0.07710275,0.2019625,0.481283524999998
414184f7,-0.261593025,-0.03584315,0.05345555,0.1772045,0.480431024999999
41f08ac8,-0.504983275,-0.20460975,-0.08009605,0.0108321,0.202837
4468ec10,-0.416001925,-0.143221,-0.03375045,0.05374675,0.2777411
44bfb6c5,-0.305354075,-0.06781275,0.02147205,0.125359,0.388969275
45963054,-0.501082025,-0.205526,-0.07618905,0.013771675,0.213441549999998
4596da74,-0.255908375,-0.042795175,0.0405494,0.14733725,0.394673975
48a5a5d6,-0.211380875,-0.02343155,0.05569955,0.16035875,0.397061175
491a433d,-0.23914635,-0.02922815,0.0560576,0.16969825,0.438256099999999
4a1a9578,-0.380014,-0.1508845,-0.04516155,0.035066075,0.218489975
4bcf39f6,-0.486975225,-0.21700075,-0.0934569,-0.001815445,0.1710183
4c370d81,-0.157041025,0.01660185,0.1236045,0.2661055,0.571540775
4c3a6744,-0.314259125,-0.07771365,0.01216765,0.11407875,0.363176024999999
4d224fe8,-0.40871965,-0.1404945,-0.03258935,0.052875075,0.269948399999999
4d77b365,-0.468732975,-0.2297655,-0.1165775,-0.02409905,0.120675175
4dcec659,-0.28200035,-0.053689725,0.03304325,0.14230475,0.4046634
4e204552,-0.3030144,-0.0681014,0.0197966,0.12202675,0.381627475
4e9a0555,-0.2412033,-0.04209645,0.0391766,0.14627,0.38426275
507c7bdf,-0.333919775,-0.11443725,-0.0208037,0.05852095,0.250961775
50e6dc35,-0.224118975,-0.026879875,0.054115,0.16446525,0.414662124999999
56f7a928,-0.304935625,-0.06432865,0.0243596,0.13146875,0.39898
57827369,-0.347084375,-0.093018975,0.000273938,0.094214525,0.348884275
59e6e5bf,-0.6183999,-0.311128,-0.1712015,-0.053678525,0.0905904624999999
5a04fd92,-0.437966725,-0.16821625,-0.05360985,0.0311409,0.237328825
5c0da4a4,-0.2933767,-0.065879375,0.020484,0.12188275,0.371554824999999
5ff4ab71,-0.511378975,-0.21411375,-0.0856999,0.0082676325,0.194909075
6434f10d,-0.313564225,-0.0793487,0.00823742,0.102231,0.3394492
6613c819,-0.3820232,-0.136042,-0.03126875,0.052508525,0.2641293
