Team,q_lower,iqr_lower,median,iqr_upper,q_upper
18bb7c10,-0.067220055,0.0020521375,0.04011515,0.0969861,0.222482675
19538871,-0.213052725,-0.081726175,-0.02871275,0.0048258575,0.0826951199999999
1df6b87e,-0.218645725,-0.058655625,-0.009234645,0.026883825,0.148264125
33c895d4,-0.1689472,-0.03364915,0.005708265,0.052806275,0.209186825
361ca564,-0.093517865,-0.0096298025,0.02332365,0.075745975,0.19992745
47c64c55,-0.07314185,0.0016210175,0.0427963,0.10801675,0.25939105
4ba7cbea,-0.122253325,-0.022113025,0.0114634,0.057399675,0.18293995
5bfb9659,-0.15301295,-0.029502425,0.00738483,0.055375825,0.200629025
7c21e445,-0.158553975,-0.042861225,-0.003343585,0.0315338,0.141454599999999
822bd0ba,-0.13922315,-0.0379914,-0.001096565,0.0342796,0.135845225
8602292d,-0.0972323575,-0.0096395925,0.02442025,0.076522575,0.20903625
8cec06e1,-0.13818345,-0.02666635,0.00873888,0.054823325,0.190024025
943e8050,-0.1710706,-0.037639,0.003305935,0.048880575,0.1922975
a2d435b3,-0.166224625,-0.04061395,-0.000635636,0.040409375,0.173294424999999
b2b47a98,-0.159115275,-0.04803225,-0.00789438,0.023305625,0.116485425
b8fd03ef,-0.046821225,0.014241425,0.0650662,0.13248275,0.27041695
cd051869,-0.124823975,-0.022903975,0.009715095,0.0535909,0.1764374
cff3d9bb,-0.18496225,-0.0604079,-0.0132321,0.01882725,0.115183625
d07537b9,-0.171273475,-0.056807475,-0.0122257,0.0185397,0.1108054
d3fd31cc,-0.361260625,-0.17474925,-0.0869827,-0.022521025,0.0317087424999999
e297cd13,-0.13106235,-0.01815245,0.01612285,0.06958555,0.233997625
e4a775cb,-0.121890825,-0.01959165,0.01408555,0.063411175,0.1981334
fd962109,-0.1343294,-0.029437425,0.004794735,0.045985225,0.15920045
